cod_imovel;x;y
ES-3203403-98D5FA3C9E6548078D39396A0866E126;240221.40992307165;7675675.969058249
ES-3203353-C7E8CA8D811B43698AFE2EB1465431D0;332557.14826642745;7851757.562916485
ES-3201605-F66437CF3EA14A3AA90FBA6E6E387570;410223.68874637154;7947203.8009292055
ES-3204054-F080AB80FD6148DBAF8C2B941F9B21F0;398511.410575936;7978820.371933693
ES-3201902-E1695C2D55B7475A8C351C478F179313;297906.13511015056;7762198.935478776
ES-3203700-11C7B9EBE0474089A925C095A17028C3;248305.89145123944;7737711.218434699
ES-3200136-EB502838B26C44C69FA0E939ED4F3CA7;304803.4425770192;7903314.863425813
ES-3204906-E2951D35EA8D41148DDF1E53499D55F4;356754.68003972823;7921448.032187492
ES-3200409-C477752CAE7E42408361C4B814A127CB;319127.0059277079;7702420.2599537
ES-3203163-6D8698F55554473CB80CF2AA308033E6;288854.1765645193;7799482.608044608
ES-3201001-A235570BEC7A4187A8232AA87CF6267C;350970.94305323;7964862.51472348
ES-3203106-640839D3CF904011B95F88472DD72422;245195.9973181887;7695464.269705733
ES-3205200-7186D801FC3D443EA28C0D199D60F8D4;357472.7444311739;7742042.562532863
ES-3201209-B6E2A0B47F5346DD82BC5B586C9DE265;275217.0057168319;7707237.504525144
ES-3203403-448A5F02D5234D33ADE0AC129FFD2BB6;234176.98502637923;7687547.635469598
ES-3200706-A433668901B042A3B0D5D0E9AA720F03;271598.6972837938;7680060.360490448
ES-3205101-8338187EA0A645448D52CA103305FD6A;343266.98431379837;7748665.818242269
ES-3205176-16449F26F0A248B28A6B34D9A8449671;360197.4376244727;7905876.5557913035
ES-3200706-ABBE904219584C55822FC9444733161C;278516.8646337235;7679226.124364749
ES-3200300-6D3008A3C866462785DBAE8185565A30;312623.8336974721;7719397.958839873
ES-3202553-9A097DE033074E01B3141FF482BA0028;219332.88833863544;7732847.357263424
ES-3203304-0C6BEE7A94D044E4A458D05F79EE6FF8;283409.80342369515;7910048.109965088
ES-3200359-6E90569CD467402EB1447A43993F410D;295089.4238692353;7893423.079237476
ES-3204005-BFACBE264C5D4732996A65ADCA72F57E;307690.40346893563;7895083.31983551
ES-3201902-1D30449E28FB4C58B827C9121BDDB583;312231.7611522627;7751242.698702488
ES-3204054-09FD5BD7CE33498885C6EFD75C03C471;379690.423190148;8001765.063104987
ES-3203007-3547DB66A4CC41CEA2D78CD473F2B529;230396.19496111863;7746545.420732018
ES-3200102-58F51FC8BA7E41E6B472AC84098F982B;292899.24147671316;7775407.162499744
